location_id,time_id,reports_mentioning_district_count,food_nutrition_report_count
SO_BORAMA,202401,0,0
SO_BORAMA,202402,1,0
SO_BORAMA,202403,1,0
SO_BORAMA,202404,3,0
SO_BORAMA,202405,1,0
SO_BORAMA,202406,2,2
SO_BORAMA,202407,0,0
SO_BORAMA,202408,0,0
SO_BORAMA,202409,0,0
SO_BORAMA,202410,1,0
SO_BORAMA,202411,1,0
SO_BORAMA,202412,1,0
SO_BOSSASO,202401,2,1
SO_BOSSASO,202402,2,1
SO_BOSSASO,202403,5,1
SO_BOSSASO,202404,8,2
SO_BOSSASO,202405,2,0
SO_BOSSASO,202406,6,5
SO_BOSSASO,202407,9,1
SO_BOSSASO,202408,4,0
SO_BOSSASO,202409,2,0
SO_BOSSASO,202410,6,2
SO_BOSSASO,202411,1,0
SO_BOSSASO,202412,5,5
SO_BUAALE,202401,0,0
SO_BUAALE,202402,0,0
SO_BUAALE,202403,0,0
SO_BUAALE,202404,4,2
SO_BUAALE,202405,0,0
SO_BUAALE,202406,0,0
SO_BUAALE,202407,0,0
SO_BUAALE,202408,0,0
SO_BUAALE,202409,0,0
SO_BUAALE,202410,0,0
SO_BUAALE,202411,0,0
SO_BUAALE,202412,0,0
SO_BULO_BURTO,202401,3,1
SO_BULO_BURTO,202402,0,0
SO_BULO_BURTO,202403,1,1
SO_BULO_BURTO,202404,2,0
SO_BULO_BURTO,202405,0,0
SO_BULO_BURTO,202406,0,0
SO_BULO_BURTO,202407,1,0
SO_BULO_BURTO,202408,0,0
SO_BULO_BURTO,202409,0,0
SO_BULO_BURTO,202410,0,0
SO_BULO_BURTO,202411,0,0
SO_BULO_BURTO,202412,0,0
SO_BURCO,202401,0,0
SO_BURCO,202402,2,1
SO_BURCO,202403,2,2
SO_BURCO,202404,4,3
SO_BURCO,202405,1,1
SO_BURCO,202406,2,1
SO_BURCO,202407,3,0
SO_BURCO,202408,1,0
SO_BURCO,202409,1,1
SO_BURCO,202410,2,2
SO_BURCO,202411,1,0
SO_BURCO,202412,6,5
SO_BURTINLE,202401,0,0
SO_BURTINLE,202402,0,0
SO_BURTINLE,202403,1,1
SO_BURTINLE,202404,1,0
SO_BURTINLE,202405,0,0
SO_BURTINLE,202406,2,1
SO_BURTINLE,202407,0,0
SO_BURTINLE,202408,1,0
SO_BURTINLE,202409,0,0
SO_BURTINLE,202410,3,1
SO_BURTINLE,202411,0,0
SO_BURTINLE,202412,1,1
SO_BUUHOODLE,202401,1,1
SO_BUUHOODLE,202402,2,0
SO_BUUHOODLE,202403,4,3
SO_BUUHOODLE,202404,0,0
SO_BUUHOODLE,202405,0,0
SO_BUUHOODLE,202406,3,2
SO_BUUHOODLE,202407,5,0
SO_BUUHOODLE,202408,2,0
SO_BUUHOODLE,202409,0,0
SO_BUUHOODLE,202410,1,0
SO_BUUHOODLE,202411,3,1
SO_BUUHOODLE,202412,2,2
SO_BUUR_XAKABA,202401,4,3
SO_BUUR_XAKABA,202402,3,1
SO_BUUR_XAKABA,202403,5,2
SO_BUUR_XAKABA,202404,4,0
SO_BUUR_XAKABA,202405,5,3
SO_BUUR_XAKABA,202406,3,1
SO_BUUR_XAKABA,202407,0,0
SO_BUUR_XAKABA,202408,1,1
SO_BUUR_XAKABA,202409,0,0
SO_BUUR_XAKABA,202410,2,1
SO_BUUR_XAKABA,202411,2,1
SO_BUUR_XAKABA,202412,6,3
SO_CABUDWAAQ,202401,4,3
SO_CABUDWAAQ,202402,4,2
SO_CABUDWAAQ,202403,3,2
SO_CABUDWAAQ,202404,3,2
SO_CABUDWAAQ,202405,5,4
SO_CABUDWAAQ,202406,4,3
SO_CABUDWAAQ,202407,7,0
SO_CABUDWAAQ,202408,8,3
SO_CABUDWAAQ,202409,4,3
SO_CABUDWAAQ,202410,10,9
SO_CABUDWAAQ,202411,6,5
SO_CABUDWAAQ,202412,5,5
SO_CADAADO,202401,2,1
SO_CADAADO,202402,1,1
SO_CADAADO,202403,2,2
SO_CADAADO,202404,7,5
SO_CADAADO,202405,5,3
SO_CADAADO,202406,5,3
SO_CADAADO,202407,2,1
SO_CADAADO,202408,5,1
SO_CADAADO,202409,2,0
SO_CADAADO,202410,5,5
SO_CADAADO,202411,1,1
SO_CADAADO,202412,2,2
SO_CADALE,202401,0,0
SO_CADALE,202402,1,0
SO_CADALE,202403,0,0
SO_CADALE,202404,0,0
SO_CADALE,202405,0,0
SO_CADALE,202406,0,0
SO_CADALE,202407,1,0
SO_CADALE,202408,0,0
SO_CADALE,202409,0,0
SO_CADALE,202410,1,1
SO_CADALE,202411,0,0
SO_CADALE,202412,0,0
SO_CALAWLA,202401,0,0
SO_CALAWLA,202402,0,0
SO_CALAWLA,202403,0,0
SO_CALAWLA,202404,0,0
SO_CALAWLA,202405,1,0
SO_CALAWLA,202406,0,0
SO_CALAWLA,202407,0,0
SO_CALAWLA,202408,0,0
SO_CALAWLA,202409,0,0
SO_CALAWLA,202410,0,0
SO_CALAWLA,202411,2,0
SO_CALAWLA,202412,1,1
SO_CAYNABO,202401,0,0
SO_CAYNABO,202402,1,0
SO_CAYNABO,202403,2,2
SO_CAYNABO,202404,1,0
