location_id,country_code,country,admin1,admin2,admin2_gadm_name,gadm_gid_2,latitude,longitude,area_km2,boundary_source,has_market_coverage
SO_GAROOWE,SO,Somalia,Nugaal,Garoowe,Garoowe,SOM.12.3_1,8.45857,48.773826,8708.02,GADM 4.1,True
SO_GOLDOGOB,SO,Somalia,Mudug,Goldogob,Goldogob,SOM.11.2_1,7.030383,47.192833,1988.97,GADM 4.1,False
SO_HARGEYSA,SO,Somalia,Woqooyi Galbeed,Hargeysa,Hargeysa,SOM.18.3_1,9.501802,44.277909,13355.49,GADM 4.1,True
SO_HOBYO,SO,Somalia,Mudug,Hobyo,Hobyo,SOM.11.3_1,5.959108,48.197907,25220.08,GADM 4.1,True
SO_ISKUSHUBAN,SO,Somalia,Bari,Iskushuban,Iskushuban,SOM.4.4_1,10.513649,50.49727,17987.93,GADM 4.1,False
SO_JALALAQSI,SO,Somalia,Hiiraan,Jalalaqsi,Jalalaqsi,SOM.8.3_1,3.402907,45.59643,3262.52,GADM 4.1,True
SO_JAMAAME,SO,Somalia,Jubbada Hoose,Jamaame,Jamaame,SOM.10.3_1,0.116865,42.802295,2051.82,GADM 4.1,False
SO_JARIIBAN,SO,Somalia,Mudug,Jariiban,Jariiban,SOM.11.4_1,7.155851,48.985442,11179.79,GADM 4.1,False
SO_JILIB,SO,Somalia,Jubbada Dhexe,Jilib,Jilib,SOM.9.2_1,0.631711,43.060787,5054.82,GADM 4.1,False
SO_JOWHAR,SO,Somalia,Shabeellaha Dhexe,Jowhar,Jawhar,SOM.14.4_1,2.983994,45.564199,4731.68,GADM 4.1,True
SO_KISMAAYO,SO,Somalia,Jubbada Hoose,Kismaayo,Kismaayo,SOM.10.4_1,-0.383886,42.021745,8729.88,GADM 4.1,True
SO_KUNTUWAARAY,SO,Somalia,Shabeellaha Hoose,Kuntuwaaray,Kuntuwaaray,SOM.15.3_1,1.661817,44.067679,2559.86,GADM 4.1,False
SO_LAAS_CAANOOD,SO,Somalia,Sool,Laas Caanood,Lascaanod,SOM.16.2_1,8.426896,47.633095,11257.03,GADM 4.1,True
SO_LUGHAYA,SO,Somalia,Awdal,Lughaya,Lughaya,SOM.1.3_1,10.630045,43.578902,3400.85,GADM 4.1,False
SO_LUUQ,SO,Somalia,Gedo,Luuq,Luuk,SOM.7.6_1,3.77584,42.704884,8246.24,GADM 4.1,True
SO_MARKA,SO,Somalia,Shabeellaha Hoose,Marka,Marka,SOM.15.4_1,1.721214,44.700258,931.61,GADM 4.1,False
SO_OODWEYNE,SO,Somalia,Togdheer,Oodweyne,Oodweyne,SOM.17.3_1,9.240387,45.001449,8073.73,GADM 4.1,False
SO_QANDALA,SO,Somalia,Bari,Qandala,Qandala,SOM.4.5_1,11.039332,50.086277,8037.64,GADM 4.1,False
SO_QANSAX_DHEERE,SO,Somalia,Bay,Qansax Dheere,Qansax Dheere,SOM.5.4_1,2.800514,42.84173,3506.32,GADM 4.1,True
SO_QARDHO,SO,Somalia,Bari,Qardho,Qardho,SOM.4.6_1,9.482438,49.505955,18254.27,GADM 4.1,True
SO_QORYOOLEY,SO,Somalia,Shabeellaha Hoose,Qoryooley,Qoryooley,SOM.15.5_1,1.921787,44.433799,3255.41,GADM 4.1,False
SO_RAB_DHUURE,SO,Somalia,Bakool,Rab Dhuure,Rab Dhuure,SOM.2.2_1,4.233005,43.205451,3385.38,GADM 4.1,True
SO_SAAKOW,SO,Somalia,Jubbada Dhexe,Saakow,Saakow,SOM.9.3_1,1.623048,42.072079,8224.82,GADM 4.1,False
SO_SABLALE,SO,Somalia,Shabeellaha Hoose,Sablale,Sablale,SOM.15.6_1,1.371723,43.531467,6273.81,GADM 4.1,False
SO_SHEEKH,SO,Somalia,Togdheer,Sheekh,Sheekh,SOM.17.4_1,9.976544,45.408369,3245.15,GADM 4.1,False
SO_TALEEX,SO,Somalia,Sool,Taleex,Taleex,SOM.16.3_1,9.171511,48.528234,8877.32,GADM 4.1,True
SO_TIYEEGLOW,SO,Somalia,Bakool,Tiyeeglow,Tiyeeglow,SOM.2.3_1,3.834682,44.524304,6647.73,GADM 4.1,False
SO_WAJID,SO,Somalia,Bakool,Wajid,Wajid,SOM.2.4_1,3.811095,43.435143,2736.74,GADM 4.1,False
SO_WANLA_WEYN,SO,Somalia,Shabeellaha Hoose,Wanla Weyn,Wanla Weyn,SOM.15.7_1,2.786395,44.906448,5775.51,GADM 4.1,False
SO_XARARDHEERE,SO,Somalia,Mudug,Xarardheere,Xarardheere,SOM.11.5_1,4.78739,47.830889,4939.61,GADM 4.1,False
SO_XUDUN,SO,Somalia,Sool,Xudun,Xudun,SOM.16.4_1,9.132363,47.494254,9163.51,GADM 4.1,True
SO_XUDUR,SO,Somalia,Bakool,Xudur,Xudur,SOM.2.5_1,4.185545,43.899019,5282.73,GADM 4.1,True
SO_ZEYLAC,SO,Somalia,Awdal,Zeylac,Zeylac,SOM.1.4_1,10.88019,43.168346,6358.43,GADM 4.1,False
