location_id,admin1,months_seen,months_expected,avg_conflict,has_market,gap
SO_OODWEYNE,Togdheer,1,6.833126330181468,0.08333333333333333,0,-5.833126330181468
SO_BULO_BURTO,Hiiraan,4,9.473213803023679,7.583333333333333,1,-5.473213803023679
SO_BADHAADHE,Jubbada Hoose,3,8.202994548484702,5.416666666666667,0,-5.2029945484847016
SO_TALEEX,Sool,2,7.012380323641516,0.0,1,-5.012380323641516
SO_CEEL_DHEER,Galguduud,3,7.810567697387401,8.416666666666666,0,-4.810567697387401
SO_CEEL_BUUR,Galguduud,1,5.711630659512097,1.9166666666666667,0,-4.711630659512097
SO_XARARDHEERE,Mudug,3,7.700416654618506,5.833333333333333,0,-4.700416654618506
SO_CEEL_WAAQ,Gedo,6,10.387905599926786,2.1666666666666665,1,-4.3879055999267855
SO_BARAAWE,Shabeellaha Hoose,2,6.206664741709864,5.916666666666667,0,-4.206664741709864
SO_CADALE,Shabeellaha Dhexe,3,7.042761577630731,0.9166666666666666,1,-4.042761577630731
SO_CEEL_BARDE,Bakool,2,5.845748264378328,0.75,1,-3.8457482643783276
SO_QANSAX_DHEERE,Bay,5,8.614048713359578,3.8333333333333335,1,-3.614048713359578
SO_CEEL_AFWEIN,Sanaag,4,7.367526937149439,0.5833333333333334,0,-3.3675269371494387
SO_DIINSOOR,Bay,6,9.266613896158843,5.75,1,-3.2666138961588427
SO_AADAN,Shabeellaha Dhexe,2,5.167831994638232,4.083333333333333,0,-3.167831994638232
SO_BANDER_BEYLA,Bari,0,3.085033847606691,0.0,0,-3.085033847606691
SO_BURTINLE,Nugaal,6,8.984454075322624,0.25,1,-2.984454075322624
SO_RAB_DHUURE,Bakool,3,5.696409472916918,0.5833333333333334,1,-2.696409472916918
SO_BELET_XAAWO,Gedo,8,10.358833214576807,1.9166666666666667,1,-2.3588332145768067
SO_KUNTUWAARAY,Shabeellaha Hoose,1,3.283386437756894,0.3333333333333333,0,-2.283386437756894
SO_BUAALE,Jubbada Dhexe,1,3.1560668641294263,0.25,0,-2.1560668641294263
SO_LUGHAYA,Awdal,1,2.5963866393622643,0.16666666666666666,0,-1.5963866393622643
SO_ZEYLAC,Awdal,1,2.455591946965133,0.0,0,-1.455591946965133
SO_ISKUSHUBAN,Bari,2,3.4392452321381417,0.3333333333333333,0,-1.4392452321381417
SO_XUDUN,Sool,6,7.01689243941957,0.0,1,-1.0168924394195704
SO_BERBERA,Woqooyi Galbeed,9,9.88013204125372,0.0,1,-0.8801320412537201
SO_HOBYO,Mudug,8,8.840549724068604,1.5833333333333333,1,-0.8405497240686035
SO_QANDALA,Bari,3,3.7709611152491123,0.6666666666666666,0,-0.7709611152491123
SO_SAAKOW,Jubbada Dhexe,3,3.428026667267226,0.6666666666666666,0,-0.42802666726722594
SO_JARIIBAN,Mudug,5,5.2168524142809805,0.5833333333333334,0,-0.21685241428098045
SO_CALAWLA,Bari,3,3.2047556287977015,0.16666666666666666,0,-0.20475562879770148
SO_SABLALE,Shabeellaha Hoose,3,3.1067638320426725,0.08333333333333333,0,-0.10676383204267248
SO_GARBAHAARAY,Gedo,8,7.868583509751625,2.0833333333333335,0,0.13141649024837498
SO_QORYOOLEY,Shabeellaha Hoose,7,6.861819781370899,7.75,0,0.1381802186291008
SO_CEERIGAABO,Sanaag,11,10.664721340546055,4.583333333333333,1,0.3352786594539445
SO_HARGEYSA,Woqooyi Galbeed,11,10.638388351643192,1.8333333333333333,1,0.36161164835680815
